lat,dens
4.394472361809044969e+01,5.630697453898769744e+00
4.449748743718592436e+01,5.680060859317691779e+00
4.505025125628139904e+01,5.729964931906862624e+00
4.560301507537687371e+01,5.780554447914535210e+00
4.615577889447234838e+01,5.831926289784337136e+00
4.670854271356782306e+01,5.884123950689555294e+00
4.726130653266331194e+01,5.937133812792772858e+00
4.781407035175878661e+01,5.990882910523676941e+00
4.836683417085426129e+01,6.045238051130114698e+00
4.891959798994973596e+01,6.100006451476962077e+00
4.947236180904521063e+01,6.154938371931433672e+00
5.002512562814069952e+01,6.209732476209878449e+00
5.057788944723617419e+01,6.264044721031089225e+00
5.113065326633164887e+01,6.317501417977840816e+00
5.168341708542712354e+01,6.369716701896550148e+00
5.223618090452259821e+01,6.420314034256216829e+00
5.278894472361808710e+01,6.468950665159275637e+00
5.334170854271356177e+01,6.515343302288056471e+00
5.389447236180903644e+01,6.559292720139238142e+00
5.444723618090451112e+01,6.600704793674490922e+00
5.500000000000000000e+01,6.639605517006353708e+00
