lat,dens
3.620603015075376163e+01,1.384052580024158097e+00
3.675879396984923630e+01,1.390072748137663572e+00
3.731155778894471098e+01,1.396195407751612994e+00
3.786432160804019986e+01,1.402318153887522678e+00
3.841708542713567454e+01,1.408340578261951137e+00
3.896984924623114921e+01,1.414173782729569950e+00
3.952261306532662388e+01,1.419748457620567672e+00
4.007537688442209856e+01,1.425020591419306593e+00
4.062814070351757323e+01,1.429974193771871960e+00
4.118090452261306211e+01,1.434620807928010500e+00
4.173366834170853679e+01,1.438996003697738502e+00
4.228643216080401146e+01,1.443153417861953614e+00
4.283919597989948613e+01,1.447157192890621280e+00
4.339195979899496081e+01,1.451073819602308301e+00
4.394472361809044969e+01,1.454964398526954250e+00
4.449748743718592436e+01,1.458878204301139236e+00
4.505025125628139904e+01,1.462848194221268328e+00
4.560301507537687371e+01,1.466888788335227067e+00
4.615577889447234838e+01,1.470995915016479749e+00
4.670854271356782306e+01,1.475149014027918204e+00
4.726130653266331194e+01,1.479314462776538885e+00
4.781407035175878661e+01,1.483449771166742259e+00
4.836683417085426129e+01,1.487507888618666563e+00
4.891959798994973596e+01,1.491441075798699556e+00
4.947236180904521063e+01,1.495203987040995441e+00
5.002512562814069952e+01,1.498755846078233311e+00
5.057788944723617419e+01,1.502061828518349351e+00
5.113065326633164887e+01,1.505093941482843256e+00
5.168341708542712354e+01,1.507831776497774889e+00
5.223618090452259821e+01,1.510263487363868062e+00
5.278894472361808710e+01,1.512387215362752668e+00
5.334170854271356177e+01,1.514212978685122390e+00
5.389447236180903644e+01,1.515764809158252069e+00
5.444723618090451112e+01,1.517082713762986312e+00
5.500000000000000000e+01,1.518223913980562001e+00
